latitude,longitude,season,seed,temperature
43.02120034946083,-81.28349087468504,spring,1234,13
43.02120034946083,-81.28349087468504,summer,1234,25
43.02120034946083,-81.28349087468504,autumn,1234,15
43.02120034946083,-81.28349087468504,winter,1234,3
43.02120034946083,-81.28349087468504,spring,5555,7
43.02120034946083,-81.28349087468504,summer,5555,25
43.02120034946083,-81.28349087468504,autumn,5555,19
43.02120034946083,-81.28349087468504,winter,5555,2
43.02120034946083,-81.28349087468504,spring,2020,11
43.02120034946083,-81.28349087468504,summer,2020,24
43.02120034946083,-81.28349087468504,autumn,2020,18
43.02120034946083,-81.28349087468504,winter,2020,5
43.02120034946083,-81.28349087468504,spring,2468,9
43.02120034946083,-81.28349087468504,summer,2468,25
43.02120034946083,-81.28349087468504,autumn,2468,18
43.02120034946083,-81.28349087468504,winter,2468,3
43.02120034946083,-81.28349087468504,spring,11110,13
43.02120034946083,-81.28349087468504,summer,11110,24
43.02120034946083,-81.28349087468504,autumn,11110,15
43.02120034946083,-81.28349087468504,winter,11110,4
43.02120034946083,-81.28349087468504,spring,4040,9
43.02120034946083,-81.28349087468504,summer,4040,25
43.02120034946083,-81.28349087468504,autumn,4040,19
43.02120034946083,-81.28349087468504,winter,4040,4
43.02120034946083,-81.28349087468504,spring,3702,10
43.02120034946083,-81.28349087468504,summer,3702,25
43.02120034946083,-81.28349087468504,autumn,3702,17
43.02120034946083,-81.28349087468504,winter,3702,2
43.02120034946083,-81.28349087468504,spring,16665,10
43.02120034946083,-81.28349087468504,summer,16665,25
43.02120034946083,-81.28349087468504,autumn,16665,18
43.02120034946083,-81.28349087468504,winter,16665,4
43.02120034946083,-81.28349087468504,spring,6002,10
43.02120034946083,-81.28349087468504,summer,6002,25
43.02120034946083,-81.28349087468504,autumn,6002,18
43.02120034946083,-81.28349087468504,winter,6002,2
43.004969336049854,-81.18631870502043,spring,1234,13
43.004969336049854,-81.18631870502043,summer,1234,25
43.004969336049854,-81.18631870502043,autumn,1234,15
43.004969336049854,-81.18631870502043,winter,1234,3
43.004969336049854,-81.18631870502043,spring,5555,7
43.004969336049854,-81.18631870502043,summer,5555,25
43.004969336049854,-81.18631870502043,autumn,5555,19
43.004969336049854,-81.18631870502043,winter,5555,2
43.004969336049854,-81.18631870502043,spring,2020,11
43.004969336049854,-81.18631870502043,summer,2020,24
43.004969336049854,-81.18631870502043,autumn,2020,18
43.004969336049854,-81.18631870502043,winter,2020,5
43.004969336049854,-81.18631870502043,spring,2468,9
43.004969336049854,-81.18631870502043,summer,2468,25
43.004969336049854,-81.18631870502043,autumn,2468,18
43.004969336049854,-81.18631870502043,winter,2468,3
43.004969336049854,-81.18631870502043,spring,11110,13
43.004969336049854,-81.18631870502043,summer,11110,24
43.004969336049854,-81.18631870502043,autumn,11110,15
43.004969336049854,-81.18631870502043,winter,11110,4
43.004969336049854,-81.18631870502043,spring,4040,9
43.004969336049854,-81.18631870502043,summer,4040,25
43.004969336049854,-81.18631870502043,autumn,4040,19
43.004969336049854,-81.18631870502043,winter,4040,4
43.004969336049854,-81.18631870502043,spring,3702,10
