Charger ID,Timestep,Load,Traffic,Max Load
33,320,12500,1,66000
33,321,25000,2,66000
33,322,37500,3,66000
33,323,37500,3,66000
33,324,37500,3,66000
33,325,37500,3,66000
33,326,37500,3,66000
33,327,37500,3,66000
33,328,25000,2,66000
33,329,25000,2,66000
33,330,25000,2,66000
33,331,0,0,66000
33,332,0,0,66000
33,333,0,0,66000
33,334,0,0,66000
33,335,0,0,66000
33,336,0,0,66000
33,337,0,0,66000
33,338,0,0,66000
33,339,0,0,66000
33,340,0,0,66000
33,341,0,0,66000
33,342,0,0,66000
33,343,0,0,66000
33,344,0,0,66000
33,345,0,0,66000
33,346,0,0,66000
33,347,0,0,66000
33,348,0,0,66000
33,349,0,0,66000
33,350,0,0,66000
33,351,0,0,66000
33,352,0,0,66000
33,353,0,0,66000
33,354,0,0,66000
32,320,25000,2,66000
32,321,37500,3,66000
32,322,37500,3,66000
32,323,37500,3,66000
32,324,37500,3,66000
32,325,37500,3,66000
32,326,37500,3,66000
32,327,37500,3,66000
32,328,37500,3,66000
32,329,37500,3,66000
32,330,12500,1,66000
32,331,12500,1,66000
32,332,12500,1,66000
32,333,0,0,66000
32,334,0,0,66000
32,335,0,0,66000
32,336,0,0,66000
32,337,0,0,66000
32,338,0,0,66000
32,339,0,0,66000
32,340,0,0,66000
32,341,0,0,66000
32,342,0,0,66000
32,343,0,0,66000
32,344,0,0,66000
32,345,0,0,66000
32,346,0,0,66000
32,347,0,0,66000
32,348,0,0,66000
32,349,0,0,66000
32,350,0,0,66000
32,351,0,0,66000
32,352,0,0,66000
32,353,0,0,66000
32,354,0,0,66000
34,320,0,0,66000
34,321,25000,2,66000
34,322,37500,3,66000
34,323,37500,3,66000
34,324,37500,3,66000
34,325,37500,3,66000
34,326,37500,3,66000
34,327,25000,2,66000
34,328,25000,2,66000
34,329,12500,1,66000
34,330,12500,1,66000
34,331,12500,1,66000
34,332,0,0,66000
34,333,0,0,66000
34,334,0,0,66000
34,335,0,0,66000
34,336,0,0,66000
34,337,0,0,66000
34,338,0,0,66000
34,339,0,0,66000
34,340,0,0,66000
34,341,0,0,66000
34,342,0,0,66000
34,343,0,0,66000
34,344,0,0,66000
34,345,0,0,66000
34,346,0,0,66000
34,347,0,0,66000
34,348,0,0,66000
34,349,0,0,66000
34,350,0,0,66000
